x,y,z
-0.498518,0.89915,0.64599
-0.4948,0.845241,0.643086
-0.524583,-1.72269,0.649908
-0.521814,-1.78192,0.647744
-0.521767,-1.80545,0.647651
-0.520653,-1.85074,0.646727
-0.523467,-1.9387,0.64856
-0.520583,-1.95582,0.646417
-0.523224,-2.02231,0.648176
-0.520461,-2.07189,0.646041
-0.522043,-2.10909,0.647101
-0.452532,-2.16058,0.596328
-0.315165,-2.20688,0.49613
0.715858,-1.29273,-0.2528
0.707939,-1.23063,-0.246876
0.562843,-0.875912,-0.140283
0.501462,-0.690779,-0.095104
0.500744,-0.404551,-0.093872
0.539247,-0.397506,-0.121908
0.701543,-0.449517,-0.240284
0.70147,-0.398905,-0.240105
0.704777,-0.348012,-0.242389
0.700113,-0.287194,-0.23884
0.701115,-0.247337,-0.239471
0.701471,-0.150821,-0.239491
0.702,-0.147165,-0.239868
0.700736,-0.050551,-0.238708
0.700912,-0.046901,-0.238828
0.700694,0.284438,-0.237848
0.702948,0.348085,-0.239334
0.701719,0.351741,-0.238429
0.700045,0.537793,-0.236749
0.704425,0.556962,-0.239893
0.700949,0.642241,-0.237149
0.707236,0.659985,-0.241686
0.703107,0.70446,-0.238567
0.705096,0.758065,-0.239884
0.70421,0.804838,-0.239122
0.706904,0.851413,-0.24097
0.549546,0.74028,-0.126596
0.705093,1.05791,-0.23914
0.702949,1.10307,-0.237466
0.709788,1.15544,-0.242319
0.708301,1.20722,-0.241108
0.483914,0.963712,-0.078224
0.305612,0.727734,0.051101
0.350939,1.06354,0.018907
0.404475,1.25454,-0.019626
0.271724,0.911559,0.076246
0.171609,1.28649,0.150116
0.113876,1.2503,0.192091
0.100191,1.17543,0.201876
-0.102861,1.16613,0.349794
-0.302557,1.21261,0.495406
-0.303163,-0.398764,0.486707
-0.250775,-0.406193,0.449344
-0.413882,-1.10231,0.563904
-0.250373,-2.18254,0.444695
0.714883,-1.2819,-0.241168
0.732541,-1.30228,-0.253805
0.653123,-1.11359,-0.196729
0.651251,-1.07977,-0.195311
0.517167,-0.761036,-0.098948
0.514268,-0.74981,-0.096854
0.704475,-0.457774,-0.231724
0.710388,0.052137,-0.234687
0.71502,0.100993,-0.237869
0.719729,0.151173,-0.241102
0.714067,0.200019,-0.236946
0.710332,0.402278,-0.233787
0.492568,0.312479,-0.078776
0.568776,0.418061,-0.132842
0.71562,0.902338,-0.236328
0.58858,0.863053,-0.145866
0.662694,1.26589,-0.197708
0.405052,0.793036,-0.015211
0.311095,0.927907,0.052096
0.400937,1.23487,-0.011193
0.311614,1.06772,0.05207
-0.502718,0.942327,0.632251
-0.403014,-1.04297,0.549543
-0.402739,-1.06545,0.549296
-0.391785,-1.04968,0.5417
-0.406561,-2.18043,0.549242
0.817344,-1.43436,-0.301969
0.81413,-1.40196,-0.29965
0.819146,-1.39773,-0.303136
0.763972,-1.28869,-0.264415
0.753817,-1.23619,-0.25721
0.473741,-0.598269,-0.060449
0.412037,-0.507214,-0.017221
0.407111,-0.496408,-0.013761
0.431999,-0.398977,-0.03087
0.458406,-0.4098,-0.049301
0.726344,0.45087,-0.233949
0.438151,0.315668,-0.033416
0.532249,0.738149,-0.097969
0.525232,0.754273,-0.09304
0.505047,0.965619,-0.078455
0.246375,0.705048,0.101197
-0.502686,1.26119,0.624628
-0.500595,1.02398,0.622592
-0.213025,-0.650077,0.414357
-0.267122,-2.21267,0.447426
0.100626,-0.374465,0.201367
0.753931,-1.23925,-0.245754
0.664144,-1.04766,-0.184127
0.509534,-0.647262,-0.077839
0.450158,-0.399402,-0.036793
0.750147,-0.37713,-0.241089
0.752853,-0.190955,-0.242482
0.75057,-0.13475,-0.240791
0.750193,-0.091764,-0.24043
0.750914,0.269621,-0.240047
0.752442,0.39314,-0.240789
0.752635,0.425962,-0.240841
0.514362,0.32606,-0.078772
0.529901,0.386781,-0.08921
0.751515,0.600026,-0.239657
0.753531,0.696501,-0.240797
0.751017,0.700344,-0.239075
